"","Country.Name","Region","IncomeGroup","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"246","Ukraine","Europe & Central Asia","Lower middle income",97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.34493256,97.82849121,98.64328766,98.11965179,97.45137024,96.81548309,96.347061155,95.87863922,94.841529845,93.80442047,92.2248764,91.0639801,89.93164063,89.87982178,91.952697764,94.025573748,96.098449732,98.171325716,100.2442017,102.056488,103.2015915,103.7610474,104.3127823,100.3053818,95.59757233,96.84503937,96.75440979,96.1399231,95.31819916,95.57578278,93.50324249,96.44418335,96.52194214,95.99926758,95.99926758,95.99926758,95.99926758,95.99926758,95.99926758,95.99926758
"247","Upper middle income","","",37.37108,37.37108,37.37108,37.37108,37.37108,37.37108,37.37108,37.37108,37.37108,37.37108,37.37108,41.81109,45.99174,49.08237,49.05177,49.98937,54.10225,55.30419,53.96572,56.12439,52.56397,50.13824,46.96827,45.55856,45.40397,42.39603,48.29083,50.23675,51.61743,52.17077,52.54752,54.11851,56.27689,58.24785,59.755,62.48849,65.45755,67.28685,68.73716,69.70154,69.90225,69.97392,70.45088,71.09149,72.49467,73.61931,76.2424,79.82202,82.47325,84.79198,86.70408,87.80368,87.66526,90.08174,89.65903,89.83141,89.52076,90.12127,91.27808,92.1744,92.1744
"248","Uruguay","Latin America & Caribbean","High income",58.7690506,58.7690506,58.7690506,58.7690506,58.7690506,58.7690506,58.7690506,58.7690506,58.7690506,58.7690506,58.7690506,60.0062294,62.32268906,64.02468109,63.43592834,60.54821014,61.09830093,60.04405975,58.89017105,58.38478088,61.89157486,65.39836884,66.35997772,68.74403381,71.21942139,71.91191864,73.62245941,73.65010834,76.74474335,78.48153687,81.28038788,83.91847229,82.65080261,81.22093201,80.94806671,82.45626831,85.8451767,87.48947525,89.1337738,92.08851624,98.22862244,101.5778275,106.1133194,109.1384583,106.989769,101.2373962,100.8624115,91.89228058,87.76004028,90.19232941,101.1993484,105.427803,107.6001282,109.451622,110.9885635,112.1294785,115.9551163,120.2243118,121.176239,121.176239,121.176239
"249","United States","North America","High income",84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,84.0059967,85.02945709,85.20371246,85.37796783,85.431633,85.6479187,85.74965668,85.48783112,78.96363831,91.31391907,89.99942017,93.17511749,93.24878693,95.12280273,94.02478027,94.96923065,95.21315002,93.96936035,92.72557068,91.48178101,91.532547,94.01258469,96.49262238,97.86335754,96.67398834,96.54429626,96.50466156,96.46502686,94.39196014,94.04963684,95.15113068,94.38052368,95.05544281,95.11338806,95.0524826,94.73130035,95.07885742,94.98499298,95.22325897,94.84593964,95.99382019,96.25170898,96.18649292,96.92453766,97.65254974,98.76992798,98.95233917,99.27558136,99.27558136,99.27558136
"250","Uzbekistan","Europe & Central Asia","Lower middle income",106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,106.6913986,107.08297728,107.47455596,107.86613464,108.25771332,108.649292,106.944341033333,105.239390066667,103.5344391,101.6693802,99.47116089,98.20554352,94.7698822,92.84886932,92.87368774,91.3969974475,89.920307155,88.4436168625,86.96692657,88.11544037,91.2869211833333,94.4584019966667,97.62988281,97.84049225,88.88987732,88.59335327,89.61490631,88.20796204,89.47305298,89.8712616,90.2158432,92.0822525,91.79508209,92.0111618,91.84593964,92.60662079,93.33635712,94.98806763,97.41873932,97.41873932
"251","St. Vincent and the Grenadines","Latin America & Caribbean","Upper middle income",19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,19.78944969,24.62833023,26.971714975,29.31509972,27.92535019,28.39113045,30.755709015,33.12028758,35.484866145,37.84944471,40.214023275,42.57860184,41.10632515,39.63404846,32.6599884,35.92541885,47.47879028,39.75717926,46.5283228566667,53.2994664533333,60.07061005,62.5636410211111,65.0566719922222,67.5497029633333,70.0427339344444,72.5357649055556,75.0287958766667,77.5218268477778,80.0148578188889,82.50788879,84.58470917,87.61702728,86.22110748,94.21038055,89.4212265,97.13643645,104.8516464,109.4799194,110.5402298,108.0370712,103.4264069,101.9272232,104.5358505,106.3007507,107.4255905,106.6856537,108.6251297,107.2264099,107.2264099,107.2264099
"252","Venezuela, RB","Latin America & Caribbean","Upper middle income",32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,32.28099823,34.95428848,37.19932938,39.19802856,40.91159821,44.99282837,47.32439041,48.36737061,49.5418396,50.40557861,50.75614166,51.18991852,52.28799057,52.93000031,54.59938049,55.66416931,55.4185791,55.42338943,54.88739014,54.91365814,55.22172165,56.14923859,56.69244003,56.8267351766667,56.9610303233333,57.09532547,57.2296206166667,57.3639157633333,57.49821091,60.46075058,64.41446686,68.38725281,69.57939911,72.19078827,74.59802246,77.28791809,79.8732605,81.69454193,82.70381165,82.71372986,83.74642944,85.8901062,93.44113922,92.75810242,91.02732086,87.93421173,88.07701874,88.07701874,88.07701874,88.07701874
"253","British Virgin Islands","Latin America & Caribbean","High income",93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,93.81778717,91.10397339,77.92887115,79.47686005,76.09942627,74.09747314,70.9498112966667,67.8021494533333,64.65448761,63.420009615,62.18553162,74.4413147,86.69709778,98.95288086,80.99173737,83.688035586,86.384333802,89.080632018,91.776930234,94.47322845,94.05857849,88.04347992,90.905693055,93.76790619,95.586143492,97.404380794,99.222618096,101.040855398,102.8590927,98.75978851,97.19975281,97.91026306,100.5541916,105.9590302,117.3316727,121.5260468,114.4133377,110.67583465,106.9383316,108.0980301,99.5341568,96.63865662,94.50286865,92.76377106,93.06703186,92.3286438,101.5765762,78.29036713,78.29036713,78.29036713
"254","Virgin Islands (U.S.)","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Vietnam","East Asia & Pacific","Lower middle income",35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,35.89334106,37.75392914,39.65364965,41.55337016,43.45309067,42.598157503,41.743224336,40.888291169,40.033358002,39.178424835,38.323491668,37.468558501,36.613625334,35.758692167,34.903759,37.82331180375,40.7428646075,43.66241741125,46.581970215,49.50152301875,52.4210758225,55.34062862625,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143,58.26018143
