"","Country.Name","Region","IncomeGroup","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"21","Bahrain","Middle East & North Africa","High income",1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.513560057,1.432240009,1.432469964,2.239300013,2.238430023,2.194890022,3.520760059,3.251620054,2.764270067,3.223119974,4.678649902,5.886919975,7.97844664333333,10.0699733116667,12.16149998,12.71714973,9.544130325,13.29312992,14.60523351,15.9173371,17.22944069,16.95248985,17.55381966,16.76971054,16.56093025,17.60573959,18.95298004,20.30022049,21.64746094,23.2213730825,24.795285225,26.3691973675,27.94310951,25.95067501,23.95824051,22.79488945,27.029249572,31.263609694,35.497969816,39.732329938,43.96669006,43.19741058,39.54288864,41.32923889,43.27574921,46.56613922,47.14588165,50.48189926,55.62850952,55.62850952
"22","Bahamas, The","Latin America & Caribbean","High income",30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,30.12882042,27.53321075,25.74971008,18.71912956,16.35367966,15.20020962,11.63673019,13.54841042,15.00076008,17.44437027,19.3540802,20.92620087,20.0879121542857,19.2496234385714,18.4113347228571,17.5730460071429,16.7347572914286,15.8964685757143,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986,15.05817986
"23","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,20.9710598,22.97823906,23.34465981,24.3355827376471,25.3265056652941,26.3174285929412,27.3083515205882,28.2992744482353,29.2901973758824,30.2811203035294,31.2720432311765,32.2629661588235,33.2538890864706,34.2448120141176,35.2357349417647,36.2266578694118,37.2175807970588,38.2085037247059,39.1994266523529,40.19034958,40.19034958
"24","Belarus","Europe & Central Asia","Upper middle income",40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.97262955,40.230121614,39.487613678,38.745105742,38.002597806,37.26008987,37.541535375,37.82298088,38.104426385,38.38587189,39.68624878,39.96981049,41.18185043,42.57104111,44.40879822,45.58385849,46.69733047,47.64347839,48.20013046,49.51082993,48.20177841,44.27215958,43.66905975,41.68539047,40.71274948,44.90518188,45.57012177,49.65983963,52.65364075,55.08983994,57.5134697,60.09336853,62.86722946,65.01206207,67.57421112,69.71343231,71.66674805,71.22473145,74.45922089,79.57814026,86.13761902,92.07142639,93.54328156,91.50016022,89.56716156,88.18457794,88.45143127,87.42909241,87.42909241,87.42909241
"25","Belize","Latin America & Caribbean","Upper middle income",1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,1.03271997,0.845589995,0.870530009,0.895470023,0.941709995,1.46955693673077,1.99740387846154,2.52525082019231,3.05309776192308,3.58094470365385,4.10879164538462,4.63663858711538,5.16448552884615,5.69233247057692,6.22017941230769,6.74802635403846,7.27587329576923,7.8037202375,8.33156717923077,8.85941412096154,9.38726106269231,9.91510800442308,10.4429549461538,10.9708018878846,11.4986488296154,12.0264957713462,12.5543427130769,13.0821896548077,13.6100365965385,14.1378835382692,14.66573048,16.50700951,15.83843994,15.40244961,16.02116966,17.01988029,18.18181992,19.09911919,22.41007996,21.86787987,21.90513992,24.32074928,24.16823959,24.00411034,23.25366974,24.21410942,24.6566391,24.54084015,24.99110031,24.99110031
"26","Bermuda","North America","High income",7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,7.48263979,9.674119949,10.28069019,11.0298854036,11.7790806172,12.5282758308,13.2774710444,14.026666258,14.7758614716,15.5250566852,16.2742518988,17.0234471124,17.772642326,18.5218375396,19.2710327532,20.0202279668,20.7694231804,21.518618394,22.2678136076,23.0170088212,23.7662040348,24.5153992484,25.264594462,26.0137896756,26.7629848892,27.5121801028,28.2613753164,29.01057053,25.93569946,26.22477913,32.91566086,30.74872971,32.01657867,31.61018944,30.31139946,28.23649025,25.14212036,21.48783493,17.8335495,19.02725983,19.02725983,19.02725983
"27","Bolivia","Latin America & Caribbean","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Brazil","Latin America & Caribbean","Upper middle income",16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,16.08415985,17.11921978,18.15427971,20.69566917,23.21698952,24.49123955,25.98962975,28.388159755,30.78668976,35.56209946,37.03839874,40.24911499,43.45983124,43.45983124,43.45983124,43.45983124,43.45983124,43.45983124,43.45983124,43.45983124,43.45983124,43.45983124
"29","Barbados","Latin America & Caribbean","High income",3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,3.206290007,4.20897007,5.099309921,5.541649818,6.81006703971429,8.07848426142857,9.34690148314286,10.6153187048571,11.8837359265714,13.1521531482857,14.42057037,17.57670975,18.10448456,18.63225937,19.36930084,18.73078823,18.09227562,17.45376301,16.8152504,16.75686073,26.12537956,27.39529991,25.51107979,27.0870046633333,28.6629295366667,30.23885441,31.8147792833333,33.3907041566667,34.96662903,40.57286072,39.82133102,43.1400972966667,46.4588635733333,49.77762985,53.0963961266667,56.4151624033333,59.73392868,67.715085985,75.69624329,69.80744171,65.42533875,65.42533875,65.42533875,65.42533875,65.42533875,65.42533875,65.42533875,65.42533875,65.42533875,65.42533875
"30","Brunei Darussalam","East Asia & Pacific","High income",1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,1.957419991,2.0644749995,2.171530008,1.881982505,1.592435002,1.302887499,1.013339996,2.886899948,2.903744936,2.920589924,4.341629982,4.5356840134,4.7297380448,4.9237920762,5.1178461076,5.311900139,5.41809988,5.618629932,6.627109885,7.635589838,8.644069791,9.652549744,11.9678297,12.68708992,14.24075031,13.91759014,14.00621986,14.68593979,14.56068993,14.50456047,15.01222038,15.73894978,16.76596069,15.45913982,17.40431976,22.42971039,24.34009933,32.02042007,31.30059052,31.92415047,33.56496048,31.21179962,31.47384071,31.47384071
